תאריך,ספק,מספר חשבונית,סכום,מטבע,הערות
2026-05-10,רבו פילאטיס (upapp/hyp),UNKNOWN,UNKNOWN,ILS,קובץ לא סונכרן
2026-05-10,שני גולן כהן,61604,480.00,ILS,
2026-05-11,Wolt - ביגה סטריט,6a02145875a7de0f8bb360f7,214.90,ILS,
2026-05-11,Wolt - וולט מרקט,6a01a318949e73033fc589cc,8.90,ILS,
2026-05-11,Wolt - וולט מרקט,6a01ddec76b3633768f80616,88.20,ILS,
2026-05-11,Wolt - מאפיית דון לאון,6a019b9aca5abcb4a8c24f0a,333.90,ILS,
2026-05-11,Wolt - פיצה פרגו,6a02156801ddd64929ba8b3c,39.00,ILS,
2026-05-11,החברה העירונית ראשון לציון (infocash),UNKNOWN,UNKNOWN,ILS,אישור רישום לפעילות - קבלה לא סונכרנה
2026-05-11,צמרת מימונים (ישראכרט),UNKNOWN,UNKNOWN,ILS,הודעה - החשבונית באתר
2026-05-12,Wolt - וולט מרקט,6a02dcb97bcdec6ef6c0c832,8.90,ILS,
2026-05-12,Wolt - וולט מרקט,6a0312f7177030f53ba8c3e6,19.50,ILS,
2026-05-12,פתאל (InfoGifts),184818,UNKNOWN,ILS,קבלה בקובץ מצורף - לא נגיש
2026-05-13,Anthropic,2725-0862-6445,20.00,USD,
2026-05-13,Apple (Wabi),734132968875,13.90,ILS,
2026-05-13,Wolt - פאזל בורגר,6a04ae5acfec708fea12d230,199.90,ILS,
2026-05-13,Wolt - שופרסל,6a0488413be1c9c9dc5ba7d4,318.94,ILS,
2026-05-14,Anthropic,2928-7612-1710,45.00,USD,
2026-05-14,Wolt - גוד מורנינג סאנשיין,6a05693820326f9388f24905,636.90,ILS,
2026-05-14,Wolt - וולט מרקט,6a05ac2fc70738ad574d9785,25.05,ILS,
2026-05-14,Wolt - וולט מרקט,6a05b6ed40e77674933b837b,65.90,ILS,
2026-05-14,Wolt - וולט מרקט,6a05d390d96692d2357f24e7,24.40,ILS,
2026-05-14,Wolt - ווק אווי,6a061e0355b121afe102dec7,223.90,ILS,
2026-05-14,פלאפון תקשורת,8165439,67.89,ILS,סלולר אדוונס אסתטיק 15/04-14/05
2026-05-15,Wolt - ברד,263805873,963.90,ILS,
2026-05-15,Wolt - וולט מרקט,263802587,7.35,ILS,
2026-05-15,Wolt - סיבל,263870895,601.90,ILS,
2026-05-16,Apple,806134641563,155.50,ILS,
2026-05-17,Apple (iCloud+ 2TB),710134822041,39.90,ILS,
2026-05-17,Clara Marketing,2101-0099,65.00,ILS,
2026-05-17,Wolt - וולט מרקט,6a09fd397c3e6d96a0a4b807,832.60,ILS,
2026-05-17,סופה הסעות וטיולים,157807,8006.00,ILS,שכירות משרד 05/26 עבור AAA
2026-05-17,סופה הסעות וטיולים,157808,3855.00,ILS,ארנונה 05/26 עבור AAA
2026-05-18,Apple (Apple Music),702135500397,21.90,ILS,
2026-05-18,Wolt - וולט מרקט,6a0aee34b2bb43469f247954,122.40,ILS,
2026-05-18,Wolt - סלמי,6a0b51d676520f55718d912e,227.90,ILS,
2026-05-20,Wolt - אקספרס,6a0d706644cd6473ab672fa5,71.00,ILS,
2026-05-20,רבו פילאטיס (upapp/hyp),UNKNOWN,UNKNOWN,ILS,קובץ לא סונכרן
2026-05-21,Apple (Wabi),728137003030,13.90,ILS,
2026-05-21,Celonis (Make.com),2315-0424,18.82,USD,
2026-05-21,OpenRouter,1249-7704,7.80,USD,
2026-05-21,Wolt - וולט מרקט נס ציונה,6a0f0522db49a918ddf62799,198.90,ILS,
2026-05-22,Wolt - וולט מרקט,6a106fddf38386d3f4b0ec44,475.40,ILS,
2026-05-23,OpenRouter,1531-5377,15.83,USD,
2026-05-23,Wolt - Yellow Mini Market,6a117b9408f199761bd6d07b,190.40,ILS,
2026-05-24,Apple,670138356602,276.60,ILS,
2026-05-24,Wolt - וולט מרקט,6a12d466b00cdda770123c65,8.90,ILS,
2026-05-24,Wolt - וולט מרקט,6a131d4b69fc8ce90d33354e,19.50,ILS,
2026-05-24,Wolt - וולט מרקט,6a13121b8557bb95a09f8d40,229.60,ILS,
2026-05-24,סופה הסעות וטיולים,157828,595.00,ILS,חשמל 18/3-18/5 עבור AAA
2026-05-24,רבו פילאטיס (upapp/hyp),UNKNOWN,UNKNOWN,ILS,קובץ לא סונכרן
2026-05-24,רבו פילאטיס (upapp/hyp),UNKNOWN,UNKNOWN,ILS,קובץ לא סונכרן
2026-05-24,רבו פילאטיס (upapp/hyp),זיכוי-1009326346,UNKNOWN,ILS,זיכוי ביטול חשבונית 1009326346
2026-05-25,Wolt - וולט מרקט רחובות,6a1478abedc073c479289c6a,213.80,ILS,
2026-05-25,Wolt - מאפיית דון לאון,6a13db5e73fb096a324657d8,453.90,ILS,
2026-05-25,Wolt - קצביית החברים,6a145ee24f690ff23559ccb8,116.90,ILS,
2026-05-26,Wolt - בורגראנץ׳,6a15ea89e74d544208ed7637,157.90,ILS,
2026-05-26,Wolt - וולט מרקט,6a15aee5a6759269cb61d26d,304.20,ILS,
2026-05-28,Lovable,2663-4224,88.00,GBP,מנוי Pro חודשי
2026-05-28,MainFunc (Genspark),2849-1904,239.99,USD,"מנוי שנתי Plus (704.06 ש""ח)"
2026-05-28,Wolt - באגט האחים,6a1887f3391e950c6ce1554e,188.90,ILS,
2026-05-28,Wolt - וולט מרקט,6a182fe8379b1f8aff578727,37.25,ILS,
2026-05-28,Wolt - וולט מרקט,6a184fb82bbd834f6b19f40f,25.90,ILS,
2026-05-28,Wolt - וולט מרקט,6a185b01287d4a5ad7b38d8b,99.90,ILS,
2026-05-28,Wolt - וולט מרקט,6a188d1900d7842845f301fd,24.70,ILS,
2026-05-28,רבו פילאטיס (upapp/hyp),UNKNOWN,UNKNOWN,ILS,קובץ לא סונכרן
2026-05-29,Anthropic,2411-2135-8832,25.00,USD,
2026-05-29,BUYME גיפט קארד,8701884,300.00,ILS,"קבלה - גיפט קארד 300 ש""ח"
2026-05-30,Apple,722140557345,623.70,ILS,כולל מנוי Claude Max 549.90
2026-05-30,Wolt - אוטלו,6a1b0841a72b1e1a2fefc2ed,154.90,ILS,
2026-05-30,Wolt - וולט מרקט,6a1b0a98123e0b6956681400,356.50,ILS,
2026-05-31,Wolt - ויקטורי,6a1beae81d35c54db01c86b0,131.50,ILS,
2026-05-31,סופה הסעות וטיולים,157949,3855.00,ILS,ארנונה 06/26
2026-06-01,Wolt - ג׳פניקה כשר,6a1bed056dc4d0691533f9d1,536.90,ILS,
2026-06-01,Wolt - וולט מרקט,6a1d92306056e32b71a5a114,52.10,ILS,
2026-06-01,Wolt - וולט מרקט,6a1dbd523283645749d80871,285.40,ILS,
2026-06-01,הולמס פלייס,756003538,272.11,ILS,מנוי - יוסי דן גור
2026-06-01,הולמס פלייס,756002926,242.46,ILS,מנוי - אושר דן גור
2026-06-01,פרטנר תקשורת,17281413,43.85,ILS,חשבון מאי; מס' מייל 1050416513
2026-06-02,שני גולן כהן,61654,960.00,ILS,לקוח: יוסף דן גור; טיפול
2026-06-03,Wolt - וולט מרקט,6a208270355f62bbfcf641bb,521.70,ILS,
2026-06-03,החברה העירונית ראשון לציון,1314450,2075.00,ILS,קבלה - קייטנת קיץ (2 מחזורים + צהרון)
2026-06-04,AMI (עמי) טכנולוגיות רפואיות,SI26019672,614.00,ILS,חשבונית מרכזת לתעודת משלוח SH26006110
2026-06-04,AMI (עמי) טכנולוגיות רפואיות,SI26019671,5039.00,ILS,חשבונית מרכזת לתעודת משלוח SH26006133
2026-06-04,AMI (עמי) טכנולוגיות רפואיות,SI26019663,10148.00,ILS,חשבונית מרכזת לתעודת משלוח SH25069056
2026-06-04,AMI (עמי) טכנולוגיות רפואיות,SI26019650,472.00,ILS,"חשבונית מרכזת; שולם ע""י הלקוחה"
2026-06-04,AMI (עמי) טכנולוגיות רפואיות,SI26019641,2867.00,ILS,חשבונית מרכזת לתעודת משלוח SH26004965
2026-06-04,Apple (Apple TV),792142832059,25.90,ILS,
2026-06-04,PayPro Global (GREEN-API),42854101,12.00,USD,
2026-06-05,Apple,696143169077,170.30,ILS,
2026-06-05,Celonis (Make.com),2587-2850,17.96,USD,
2026-06-05,Wolt - שיריז פטיסרי,6a22c67225850a4860468054,328.90,ILS,
2026-06-05,איזיביזי לעסקים,0219-0708,317.42,ILS,מנוי חודשי עבור אדוונס אסתטיק (OCR)
2026-06-06,Anthropic,2271-3095-2086,20.00,USD,
2026-06-06,Anthropic,2038-5955-6115,20.00,USD,
2026-06-06,Wolt - am:pm בת ים,6a23eb0a9c59930268879dfe,376.32,ILS,
2026-06-06,Wolt - פיק א פוקה,6a2456f562b0bdcb8e96a76f,122.15,ILS,
2026-06-07,Celonis (Make.com),2553-5723,31.51,USD,
2026-06-07,Wolt - וולט מרקט,6a258e4c3beec3171aa6489d,28.40,ILS,
2026-06-07,Wolt - מאפיית דון לאון,6a24f78c12706856bbbe62fd,453.90,ILS,
2026-06-07,רבו פילאטיס (upapp/hyp),1009513336,UNKNOWN,ILS,קובץ לא סונכרן - octet-stream
2026-06-08,AMI (עמי) טכנולוגיות רפואיות,SI26020048,7080.00,ILS,מזרקי Sculptra לאדוונס אסתטיקס
2026-06-08,Apple (CapCut),770145119147,153.60,ILS,
2026-06-08,Celonis (Make.com),2688-4597,54.28,USD,
2026-06-08,Eleven Labs,2609-1019-9091,22.00,USD,
2026-06-08,Epic Games,A1117437934,236.35,ILS,
2026-06-08,Wolt - לנדוור סינמה סיטי,6a270de63f037158b5e40f45,86.45,ILS,
2026-06-08,חברת החשמל,300068534487,264.69,ILS,קבלה לתשלום חשבונית חשמל 2026-420818154 (18/3-18/5)
2026-06-09,Wolt - וולט מרקט,6a2814b4d238765b51b7332f,337.50,ILS,
2026-06-09,רבו פילאטיס (upapp/hyp),1009535688,UNKNOWN,ILS,קובץ לא סונכרן - octet-stream
2026-06-10,Anthropic,2788-5628-7662,45.00,USD,
2026-06-10,Anthropic,2751-6850-5757,25.00,USD,
2026-06-10,Muscle Booster,bcfb142175f38f978dbb039fe8a423ee,6.93,USD,
2026-06-10,Wolt - וולט מרקט,6a292f98fe8a44aeb5c40776,13.90,ILS,
2026-06-10,Wolt - וולט מרקט,6a293a5cac2016106819d216,14.70,ILS,
2026-06-10,Wolt - וולט מרקט,6a29608e7a3d4e1da9e8912f,10.20,ILS,
2026-06-10,Wolt - וולט מרקט,6a295b9948a0636c2fc9a324,12.50,ILS,
2026-06-10,Wolt - פיק א פוקה,6a2948eccd612d7150911f21,172.00,ILS,
2026-06-10,סנדביץ' בר אקספרס,35474,569.00,ILS,לקוח: advance aesthetic; כיבוד קל
2026-06-11,Gett,UNKNOWN,104.30,ILS,ride receipt
2026-06-11,Wolt - פוקי בר,6a2ab22c72e36e42b5cdfb1a,121.00,ILS,
2026-06-12,Wolt - וולט מרקט,6a2ba0c423b011de091b1e41,20.90,ILS,
2026-06-12,Wolt - חומוס זוהרה,6a2bd54234024d7603ecad32,223.90,ILS,
2026-06-12,Wolt - מאפיית דון לאון,6a2b98a923b011de091b0cb4,203.90,ILS,
2026-06-12,Wolt - פלאפל שושנה,6a2bd5efe55f3d95cfcc64e2,39.00,ILS,
2026-06-13,Wolt - וולט מרקט,6a2d91868c2ad721784c3bf3,436.91,ILS,
2026-06-13,Wolt - מקדונלד'ס,6a2d3a907404025164782609,129.90,ILS,
2026-06-13,רבו פילאטיס (upapp/hyp),1009589130,UNKNOWN,ILS,קובץ לא סונכרן - octet-stream
2026-06-14,PayPro Global (GREEN-API),42991799,12.00,USD,
2026-06-14,Wolt - וולט מרקט,6a2e81822bb969bd56e6c02e,7.90,ILS,
2026-06-14,Wolt - חלום יעקב,6a2e354a6499aa7d52d872c3,473.90,ILS,
2026-06-14,Wolt - פוקי בר,6a2e9c810b3647e40c7777c3,69.00,ILS,
2026-06-15,Apple (Wabi),674147353974,13.90,ILS,
2026-06-15,Celonis (Make.com),2241-4660,10.05,USD,
2026-06-16,Celonis (Make.com),2784-5062,45.23,USD,
2026-06-16,Wolt - פרשמרקט,6a30e6451b86e6987ef49150,84.03,ILS,
2026-06-16,"ד""ר גיא שלום בע""מ",31979,7080.00,ILS,לקוח: אדוונס אסתטיק אקדמי; שיעורי אקדמיה רופא עור
2026-06-16,הילה ש.מ מבנים,157956,8006.00,ILS,שכירות משרד 06/26 - חיוב כפול שבוטל בזיכוי 8931
2026-06-16,הילה ש.מ מבנים,8931,-8006.00,ILS,חשבונית זיכוי כנגד 157956
2026-06-16,סופה הסעות וטיולים,157958,8006.00,ILS,שכירות משרד 06/26 עבור AAA
2026-06-16,רבו פילאטיס (upapp/hyp),1009636310,UNKNOWN,ILS,קובץ לא סונכרן - octet-stream
2026-06-17,Clara Marketing,2085-3497,65.00,ILS,
2026-06-17,Muscle Booster,4fa8491b-079f-4571-b20c-03c1b4b3262a,49.95,USD,
2026-06-17,Wolt - וולט מרקט,6a324b36712505e98a2410dd,7.35,ILS,
2026-06-17,Wolt - וולט מרקט,6a32a7d48b1a96055286fc52,25.90,ILS,
2026-06-17,סנדביץ' בר אקספרס,35532,549.00,ILS,לקוח: advance aesthetic; כיבוד קל
2026-06-17,רבו פילאטיס (upapp/hyp),1009647719,UNKNOWN,ILS,קובץ לא סונכרן - octet-stream
2026-06-18,Apple,676149133825,189.50,ILS,
2026-06-18,Apple (iCloud+ 2TB),772148842582,39.90,ILS,
2026-06-18,Gett,UNKNOWN,128.80,ILS,ride receipt
2026-06-18,Wolt - וולט מרקט,6a33d0252dc79de16dcdb285,10.00,ILS,
2026-06-18,Wolt - וולט מרקט,6a33e40df471df0a91e5365e,11.50,ILS,
2026-06-18,בר חן - מוסיקאית,91,1416.00,ILS,לקוח: יוסף דן גור ואדוונס אסתטיק; צילום ועריכת וידאו
2026-06-18,"חיוך ראשון בע""מ",98013,300.00,ILS,לקוח: אושר דנגור; קבלה 66875
2026-06-19,Apple (Apple Music),766149407181,21.90,ILS,
2026-06-19,Wolt - כיד המלך,6a34e1bd74c1c0cad082fa94,176.80,ILS,
2026-06-21,Celonis (Make.com),2190-5575,55.85,USD,
2026-06-21,Wolt - גוד מורנינג סאנשיין,6a36d46121879575d4edd147,397.90,ILS,
2026-06-21,Wolt - וולט מרקט,6a37a5c861c0c95bb6ee0c3a,75.15,ILS,
2026-06-21,Wolt - וולט מרקט,6a37c523a0a6142bfedef0e8,9.90,ILS,
2026-06-21,Wolt - וולט מרקט,6a37ea44b89e0b04dae58de2,8.90,ILS,
2026-06-21,Wolt - וולט מרקט,6a37fc5cccd8f1c7cc6c0aa5,75.40,ILS,
2026-06-22,Wolt - הנכד של אברם,6a39683a66035c0c6f96d39d,151.90,ILS,
2026-06-22,Wolt - וולט מרקט,6a394f0d451b654767818a14,83.50,ILS,
2026-06-22,Wolt - מקדונלד׳ס,6a39105a0ef82670f7ec6d5d,187.90,ILS,
2026-06-22,Wolt - סופר יודה,6a396b22016402541fe8e69b,67.41,ILS,
2026-06-22,רבו פילאטיס (upapp/hyp),1009703108,UNKNOWN,ILS,קובץ לא סונכרן - octet-stream
2026-06-23,Apple,860151209430,111.70,ILS,
2026-06-23,Wolt - הנכד של אברם,6a3a8d239ef75da7206742a3,155.90,ILS,
2026-06-23,Wolt - וולט מרקט,6a3a8bcd248e79fff4c85210,242.30,ILS,
2026-06-23,Wolt - סופר יודה,6a3a17027cf8518cb7655d7d,147.10,ILS,
2026-06-24,Wolt - וולט מרקט,6a3bb31c20ed8c2b39863eb3,8.90,ILS,
2026-06-24,Wolt - וולט מרקט,6a3c135607d63582ab4cf1ca,5.90,ILS,
2026-06-24,Wolt - מקדונלד׳ס,6a3bac9e28d256eac4e2bedb,101.05,ILS,
2026-06-24,סנדביץ' בר אקספרס,35617,554.00,ILS,לקוח: advance aesthetic; כיבוד קל
2026-06-25,Apple,660152079688,204.70,ILS,
2026-06-25,Pipeboard,2032-1302,29.90,USD,
2026-06-25,Wolt - וולט מרקט,6a3cd1892144f56a723baee3,215.30,ILS,
2026-06-25,Wolt - ויקטורי,6a3d39dbd04a9ba7012e76f6,99.58,ILS,
2026-06-25,Wolt - רוטשילד 33,6a3cd0491a52d881e10d368a,102.10,ILS,
2026-06-26,Anthropic,2100-7812-2329,20.00,USD,
2026-06-28,Lovable,2636-0541,88.00,GBP,
2026-06-28,Wolt - וולט מרקט,6a40cc99dd87f246e4ccc825,10.00,ILS,
2026-06-28,Wolt - וולט מרקט,6a40df63eff9c2ec1542c73f,8.90,ILS,
2026-06-28,Wolt - וולט מרקט,6a40fb6a8a8cd780d12e0f94,10.00,ILS,
2026-06-28,Wolt - וולט מרקט,6a4103061f10220f73e4c429,41.30,ILS,
2026-06-28,Wolt - מאפיית דון לאון,6a40ae9c32dd0cbd35c0a5c0,453.90,ILS,
2026-06-28,רבו פילאטיס (upapp/hyp),1009776913,UNKNOWN,ILS,קובץ לא סונכרן - octet-stream
2026-06-29,שני גולן כהן,61707,960.00,ILS,לקוח: יוסף דן גור; טיפול
2026-06-30,Apple,850154719044,519.60,ILS,
2026-06-30,Google Workspace,5612919402,2.72,EUR,Business Starter 19-30.6
2026-06-30,Wolt - ברד,6a43d06bbc575909ea076559,161.90,ILS,
2026-06-30,Wolt - הטוניסאי,6a438ce43d4cfa2f31d8aacf,37.00,ILS,
2026-06-30,Wolt - הטריפוליטאי,6a438c9bbfc6821a66b779ec,186.90,ILS,
2026-06-30,סופה הסעות וטיולים,158110,7830.00,ILS,ארנונה 7-8/26 עבור AAA
2026-06-30,קארדקום סליקה,186881,424.61,ILS,עמלות סליקה יוני; מחזור 26430 הועבר נטו 26005.39
2026-06-30,שקרון דניאל רוג'ר (שכירות),01/010057,3245.00,ILS,שכירות 06/26 חלק 1 מתוך 2
2026-06-30,שקרון דניאל רוג'ר (שכירות),01/010058,3245.00,ILS,שכירות 06/26 חלק 2 מתוך 2
